customer_id,recency,frequency,monetary,pourcentage,basket_average
12346.0,326,4,66.86000000000058,99.91356615744043,16.715000000000146
12347.0,3,8,4921.530000000001,0.0,615.1912500000001
12348.0,76,5,2019.4,0.0,403.88
12349.0,19,4,4404.54,0.5453079804637488,1101.135
12350.0,311,1,334.40000000000003,0.0,334.40000000000003
12351.0,376,1,300.93,0.0,300.93
12352.0,37,9,1889.21,5.987937537944006,209.91222222222223
12353.0,205,2,406.76,0.0,203.38
12354.0,233,1,1079.3999999999999,0.0,1079.3999999999999
12355.0,215,2,947.6099999999999,0.0,473.80499999999995
12356.0,23,6,6371.7300000000005,0.0,1061.9550000000002
12357.0,34,3,18287.66,0.0,6095.886666666666
12358.0,2,5,3887.0700000000006,0.0,777.4140000000001
12359.0,8,10,8652.34,2.491156142128318,865.234
12360.0,53,8,4212.89,0.9405369054925004,526.61125
12361.0,288,4,511.24999999999994,0.0,127.81249999999999
12362.0,4,11,5284.58,1.3376946098281817,480.41636363636366
12363.0,110,2,552.0,0.0,276.0
12364.0,8,4,1313.1000000000001,0.0,328.27500000000003
12365.0,292,1,320.68999999999994,0.0,320.68999999999994
12366.0,634,1,500.24,0.0,500.24
12367.0,5,1,168.89999999999998,0.0,168.89999999999998
12368.0,629,1,917.6999999999999,0.0,917.6999999999999
12369.0,414,3,1791.1499999999999,0.0,597.05
12370.0,52,7,4316.56,0.0,616.6514285714286
12371.0,45,5,4067.38,0.0,813.476
12372.0,72,3,1298.0400000000002,0.0,432.68000000000006
12373.0,312,3,1127.65,0.0,375.8833333333334
12374.0,26,4,2989.2200000000003,0.0,747.3050000000001
12375.0,3,2,455.42,0.4546448087431694,227.71
12376.0,390,2,503.15000000000003,0.0,251.57500000000002
12377.0,316,4,3426.3199999999997,0.0,856.5799999999999
12378.0,130,2,5416.32,0.0,2708.16
12379.0,82,4,1618.27,0.12035402599646962,404.5675
12380.0,22,10,7887.999999999999,3.42387345197211,788.8
12381.0,5,5,1803.96,2.2408159062704907,360.79200000000003
12382.0,683,0,-18.38,inf,-inf
12383.0,185,5,1839.3100000000002,0.6079240878436797,367.862
12384.0,29,2,566.16,3.265159669895945,283.08
12385.0,380,1,1923.3999999999999,0.7738340899711103,1923.3999999999999
12386.0,338,2,401.9,0.0,200.95
12387.0,416,1,143.94,0.0,143.94
12388.0,16,8,3901.11,0.0,487.63875
12389.0,403,3,1433.33,0.0,477.77666666666664
12390.0,80,1,549.84,0.0,549.84
12391.0,22,6,2699.24,0.9395047048634048,449.8733333333333
12392.0,592,1,234.75000000000003,0.0,234.75000000000003
12393.0,73,6,2376.75,0.9460501364896122,396.125
12394.0,64,2,1272.48,0.0,636.24
12395.0,16,15,4700.82,0.43103722170563663,313.388
12396.0,675,1,931.4300000000001,0.0,931.4300000000001
12397.0,36,2,2409.9000000000005,0.0,1204.9500000000003
12398.0,46,1,1635.6599999999999,0.0,1635.6599999999999
12399.0,120,7,1962.3000000000004,0.0,280.3285714285715
12400.0,415,1,205.25,0.0,205.25
12401.0,304,1,84.3,0.0,84.3
12402.0,324,6,1244.1500000000003,1.014400509189275,207.35833333333338
12403.0,50,2,1001.3600000000001,1.7658138439805366,500.68000000000006
12404.0,683,1,63.24,0.0,63.24
12405.0,149,1,1710.3900000000003,0.0,1710.3900000000003
12406.0,23,5,6072.21,4.978592755337728,1214.442
12407.0,50,5,1708.1199999999997,0.0,341.6239999999999
12408.0,33,8,4279.639999999999,1.4082754902931969,534.9549999999999
12409.0,79,7,23090.47,1.4040562288609093,3298.6385714285716
12410.0,302,3,1001.46,1.2084323919069555,333.82
12411.0,410,1,346.9,0.0,346.9
12412.0,75,6,2581.03,0.6122614009619048,430.1716666666667
