payed_amount,refund_amount,pourcentage
77353.96,-77287.1,99.91356615744043
4921.530000000001,0.0,0.0
2019.4,0.0,0.0
4428.6900000000005,-24.15,0.5453079804637488
334.40000000000003,0.0,0.0
300.93,0.0,0.0
2009.5400000000002,-120.33,5.987937537944006
406.76,0.0,0.0
1079.3999999999999,0.0,0.0
947.6099999999999,0.0,0.0
6371.7300000000005,0.0,0.0
18287.66,0.0,0.0
3887.0700000000006,0.0,0.0
8873.390000000001,-221.04999999999998,2.491156142128318
4252.89,-40.0,0.9405369054925004
511.24999999999994,0.0,0.0
5356.23,-71.65,1.3376946098281817
552.0,0.0,0.0
1313.1000000000001,0.0,0.0
320.68999999999994,0.0,0.0
500.24,0.0,0.0
168.89999999999998,0.0,0.0
917.6999999999999,0.0,0.0
1791.1499999999999,0.0,0.0
4316.56,0.0,0.0
4067.38,0.0,0.0
1298.0400000000002,0.0,0.0
1127.65,0.0,0.0
2989.2200000000003,0.0,0.0
457.5,-2.08,0.4546448087431694
503.15000000000003,0.0,0.0
3426.3199999999997,0.0,0.0
5416.32,0.0,0.0
1620.22,-1.95,0.12035402599646962
8167.65,-279.65000000000003,3.42387345197211
1845.3100000000004,-41.35,2.2408159062704907
0.0,-18.38,inf
1850.5600000000002,-11.25,0.6079240878436797
585.2700000000001,-19.11,3.265159669895945
1938.3999999999999,-15.0,0.7738340899711103
401.9,0.0,0.0
143.94,0.0,0.0
3901.11,0.0,0.0
1433.33,0.0,0.0
549.84,0.0,0.0
2724.84,-25.599999999999998,0.9395047048634048
234.75000000000003,0.0,0.0
2399.45,-22.7,0.9460501364896122
1272.48,0.0,0.0
4721.169999999999,-20.35,0.43103722170563663
931.4300000000001,0.0,0.0
2409.9000000000005,0.0,0.0
1635.6599999999999,0.0,0.0
1962.3000000000004,0.0,0.0
205.25,0.0,0.0
84.3,0.0,0.0
1256.9000000000003,-12.75,1.014400509189275
1019.3600000000001,-18.0,1.7658138439805366
63.24,0.0,0.0
1710.3900000000003,0.0,0.0
6390.36,-318.15000000000003,4.978592755337728
1708.1199999999997,0.0,0.0
4340.7699999999995,-61.13,1.4082754902931969
23419.289999999997,-328.82,1.4040562288609093
1013.71,-12.25,1.2084323919069555
346.9,0.0,0.0
2596.9300000000003,-15.899999999999999,0.6122614009619048
999.45,-63.95,6.398519185552053
692.41,-130.0,18.775003249519795
144383.37,-1189.08,0.8235574498642053
202.56,0.0,0.0
