customer_id,invoice_date,invoice,total_price
12346.0,326,17,-51.74000000000524
12347.0,3,8,4921.530000000001
12348.0,76,5,2019.4
12349.0,19,5,4404.54
12350.0,311,1,334.40000000000003
12351.0,376,1,300.93
12352.0,37,13,1889.21
12353.0,205,2,406.76
12354.0,233,1,1079.3999999999999
12355.0,215,2,947.6099999999999
12356.0,23,6,6371.7300000000005
12357.0,34,3,18287.66
12358.0,2,5,3887.0700000000006
12359.0,8,14,8652.34
12360.0,53,9,4212.89
12361.0,288,4,511.24999999999994
12362.0,4,14,5284.58
12363.0,110,2,552.0
12364.0,8,4,1313.1000000000001
12365.0,292,3,320.68999999999994
12366.0,634,1,500.24
12367.0,5,1,168.89999999999998
12368.0,629,1,917.6999999999999
12369.0,414,3,1791.1499999999999
12370.0,52,7,4316.56
12371.0,45,5,4067.38
12372.0,72,3,1298.0400000000002
12373.0,312,3,1127.65
12374.0,26,4,2989.2200000000003
12375.0,3,3,455.42
12376.0,390,2,503.15000000000003
12377.0,316,4,3426.3199999999997
12378.0,130,2,5416.32
12379.0,82,5,1618.27
12380.0,22,15,7888.0
12381.0,5,6,1803.96
12382.0,683,1,-18.38
12383.0,185,6,1839.3100000000002
12384.0,29,3,566.16
12385.0,380,2,1923.3999999999999
12386.0,338,2,401.9
12387.0,416,1,143.94
12388.0,16,8,3901.11
12389.0,403,3,1433.33
12390.0,80,1,549.84
12391.0,22,7,2699.24
12392.0,592,1,234.75000000000003
12393.0,73,7,2376.75
12394.0,64,2,1272.48
12395.0,16,18,4700.82
12396.0,675,1,931.4300000000001
12397.0,36,2,2409.9000000000005
12398.0,46,1,1635.6599999999999
12399.0,120,7,1962.3000000000004
12400.0,415,1,205.25
12401.0,304,1,84.3
12402.0,324,7,1244.1500000000003
12403.0,50,3,1001.3600000000001
12404.0,683,1,63.24
12405.0,149,1,1710.3900000000003
12406.0,23,7,6072.21
12407.0,50,5,1708.1199999999997
12408.0,33,14,4279.639999999999
12409.0,79,13,23090.47
12410.0,302,4,1001.46
12411.0,410,1,346.9
12412.0,75,8,2581.03
12413.0,67,6,935.5000000000001
12414.0,218,8,692.41
12415.0,25,33,143269.29
12416.0,657,1,202.56
12417.0,4,27,6688.709999999999
12418.0,113,5,2016.9499999999998
12419.0,386,2,503.01
12420.0,64,1,600.3900000000001
12421.0,16,8,1092.83
12422.0,96,21,4119.35
12423.0,1,11,2612.19
12424.0,163,7,3289.78
12425.0,79,3,1680.81
12426.0,195,3,1311.41
12427.0,12,5,708.37
12428.0,26,12,7877.2
12429.0,10,9,6154.009999999999
12430.0,44,1,256.4
12431.0,36,33,10293.66
12432.0,43,5,5059.319999999999
12433.0,1,11,16641.74
12434.0,85,5,1062.48
12435.0,80,6,13925.93
12436.0,100,1,509.01000000000005
12437.0,2,47,12394.85
12438.0,15,2,2906.8500000000004
12439.0,683,3,1089.18
12440.0,458,3,768.15
12441.0,367,1,173.55
12442.0,4,1,172.06
12443.0,733,1,485.31
12444.0,22,5,5005.46
12445.0,23,3,426.48
12446.0,58,1,1002.3100000000001
12447.0,244,1,476.49
12448.0,45,1,449.4500000000001
12449.0,23,6,4835.889999999999
12450.0,157,7,666.95
12451.0,11,10,12546.529999999999
12452.0,17,3,428.57
12453.0,135,1,707.0899999999999
12454.0,54,9,4292.71
12455.0,74,10,5879.95
12456.0,45,4,3153.89
12457.0,59,14,2472.31
12458.0,72,4,1777.4899999999998
12459.0,606,1,454.3599999999999
12460.0,457,1,326.65
12461.0,95,2,826.88
12462.0,3,4,1124.0099999999998
12463.0,47,7,1303.63
12464.0,11,8,1212.05
12465.0,8,3,733.89
12466.0,683,1,56.73
12467.0,387,2,0.0
12468.0,144,10,3624.55
12469.0,523,2,3070.54
12470.0,690,1,211.95
12471.0,3,129,37920.01
12472.0,31,37,15447.69
12473.0,30,9,2837.73
12474.0,18,54,11948.75
12475.0,54,2,1149.64
12476.0,2,38,13684.119999999999
12477.0,23,12,20173.64
12478.0,4,1,680.9900000000001
12479.0,4,3,477.29999999999995
12480.0,29,8,5435.1
12481.0,23,18,12041.15
12482.0,450,32,21893.53
12483.0,18,27,4823.470000000001
12484.0,33,16,6287.799999999999
12485.0,530,1,708.1000000000001
12486.0,432,1,1037.2800000000002
12487.0,731,2,259.79999999999995
12488.0,10,3,1298.6600000000003
12489.0,337,1,334.92999999999995
12490.0,6,22,9818.64
12491.0,39,1,460.40000000000003
12492.0,64,3,715.21
12493.0,166,3,416.79
12494.0,10,17,1685.9199999999998
12495.0,635,2,323.4
12496.0,621,2,45.339999999999996
12497.0,82,4,6211.75
12498.0,22,3,403.7
12499.0,561,1,393.71999999999997
12500.0,24,25,5872.31
12501.0,316,2,2089.68
12502.0,96,5,3723.87
12503.0,338,2,0.0
12504.0,19,6,411.00000000000006
12505.0,302,3,908.0
12506.0,233,1,73.50000000000001
12507.0,135,5,1797.31
12508.0,27,2,397.88
12509.0,285,1,176.5
12510.0,143,16,3689.33
12511.0,415,2,3065.77
12512.0,67,2,132.18
12513.0,85,2,586.7900000000001
12514.0,268,2,1597.7600000000002
12515.0,354,1,383.70000000000005
12516.0,78,4,2648.6200000000003
12517.0,29,6,2443.6499999999996
12518.0,1,5,2056.89
12519.0,64,3,685.19
12520.0,80,6,2582.51
12521.0,143,1,599.68
12522.0,40,2,192.72000000000003
12523.0,2,30,4201.05
12524.0,10,18,11091.36
12525.0,492,8,835.1799999999998
12526.0,1,3,1316.6600000000003
12527.0,82,5,735.51
12528.0,10,8,1922.28
12529.0,523,2,311.78
12530.0,60,12,3689.8599999999997
12531.0,15,3,1899.05
12532.0,31,1,349.83000000000004
12533.0,619,6,1149.99
12534.0,131,1,1089.18
12535.0,92,2,716.35
12536.0,8,5,4106.82
12537.0,409,1,732.94
12538.0,30,2,640.4499999999999
12539.0,23,8,9498.900000000001
12540.0,20,36,22107.29
12541.0,30,3,981.1800000000002
12542.0,485,4,423.38
